GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dev_ops_ac1,com.example.devopsac1.Dto,StudentRequest,0,6,0,0,0,1,0,1,0,1
dev_ops_ac1,com.example.devopsac1.Dto,CourseRequest,0,6,0,0,0,1,0,1,0,1
dev_ops_ac1,com.example.devopsac1.Dto,EligibilityResponse,0,9,0,0,0,1,0,1,0,1
dev_ops_ac1,com.example.devopsac1.Dto,EnrollmentResponse,0,46,0,0,0,9,0,2,0,2
dev_ops_ac1,com.example.devopsac1.Dto,AverageResponse,0,6,0,0,0,1,0,1,0,1
dev_ops_ac1,com.example.devopsac1.Dto,StudentResponse,0,17,0,0,0,2,0,2,0,2
dev_ops_ac1,com.example.devopsac1.Dto,CreateEnrollmentRequest,0,9,0,0,0,1,0,1,0,1
dev_ops_ac1,com.example.devopsac1.Dto,CompleteEnrollmentRequest,0,6,0,0,0,1,0,1,0,1
dev_ops_ac1,com.example.devopsac1.Dto,CourseResponse,0,17,0,0,0,2,0,2,0,2
dev_ops_ac1,com.example.devopsac1.Domain,Enrollment,2,59,1,5,0,20,1,11,0,9
dev_ops_ac1,com.example.devopsac1.Domain,Student,6,19,0,0,1,9,1,5,1,5
dev_ops_ac1,com.example.devopsac1.Domain,Course,6,19,0,0,1,9,1,5,1,5
dev_ops_ac1,com.example.devopsac1.Config,OpenApiConfig,0,17,0,0,0,5,0,2,0,2
dev_ops_ac1,com.example.devopsac1.Exception,ApiError,0,25,0,0,0,2,0,2,0,2
dev_ops_ac1,com.example.devopsac1.Exception,GlobalExceptionHandler,0,43,0,0,0,10,0,5,0,5
dev_ops_ac1,com.example.devopsac1.Exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
dev_ops_ac1,com.example.devopsac1.Controller,CourseController,0,113,0,2,0,27,0,11,0,10
dev_ops_ac1,com.example.devopsac1.Controller,EnrollmentController,0,112,0,0,0,20,0,9,0,9
dev_ops_ac1,com.example.devopsac1.Controller,StudentController,0,117,0,2,0,25,0,11,0,10
dev_ops_ac1,com.example.devopsac1,Main,5,3,0,0,2,1,1,1,1,1
dev_ops_ac1,com.example.devopsac1.Service,CourseService,0,26,0,2,0,9,0,6,0,5
